id,last_price,volume,server_time,source
249,777751000.0,85.38,2024-02-13 12:01:17.725459,indodax
250,777751000.0,85.38,2024-02-13 12:01:18.805032,indodax
251,777751000.0,85.38,2024-02-13 12:01:19.928783,indodax
252,777751000.0,85.38,2024-02-13 12:01:20.994054,indodax
253,777751000.0,85.38,2024-02-13 12:01:22.055704,indodax
254,777751000.0,85.38,2024-02-13 12:01:23.191871,indodax
255,777751000.0,85.38,2024-02-13 12:01:24.305218,indodax
256,777751000.0,85.38,2024-02-13 12:01:25.426510,indodax
257,777751000.0,85.38,2024-02-13 12:01:26.480062,indodax
258,777751000.0,85.38,2024-02-13 12:01:27.582131,indodax
259,777751000.0,85.38,2024-02-13 12:01:28.634168,indodax
260,777751000.0,85.38,2024-02-13 12:01:29.712627,indodax
261,777751000.0,85.38,2024-02-13 12:01:30.800551,indodax
262,777751000.0,85.38,2024-02-13 12:01:31.954185,indodax
263,777751000.0,85.38,2024-02-13 12:01:33.063596,indodax
264,777751000.0,85.38,2024-02-13 12:01:34.138410,indodax
265,777751000.0,85.38,2024-02-13 12:01:35.211322,indodax
266,777751000.0,85.38,2024-02-13 12:01:36.274224,indodax
267,777751000.0,85.38,2024-02-13 12:01:37.431375,indodax
268,777751000.0,85.38,2024-02-13 12:01:38.478710,indodax
269,777751000.0,85.38,2024-02-13 12:01:39.550890,indodax
270,777751000.0,85.38,2024-02-13 12:01:40.671057,indodax
271,777751000.0,85.38,2024-02-13 12:01:41.740514,indodax
272,777751000.0,85.38,2024-02-13 12:01:42.801463,indodax
273,777751000.0,85.38,2024-02-13 12:01:43.869850,indodax
274,777751000.0,85.38,2024-02-13 12:01:44.962128,indodax
275,777751000.0,85.38,2024-02-13 12:01:46.046801,indodax
276,777751000.0,85.38,2024-02-13 12:01:47.150402,indodax
277,777751000.0,85.38,2024-02-13 12:01:48.212082,indodax
278,777751000.0,85.38,2024-02-13 12:01:49.295845,indodax
279,777751000.0,85.38,2024-02-13 12:01:50.430804,indodax
280,777751000.0,85.38,2024-02-13 12:01:51.490748,indodax
281,777751000.0,85.38,2024-02-13 12:01:52.561539,indodax
282,777751000.0,85.38,2024-02-13 12:01:53.693699,indodax
283,777751000.0,85.38,2024-02-13 12:01:54.849371,indodax
284,777751000.0,85.38,2024-02-13 12:01:55.922570,indodax
285,777751000.0,85.38,2024-02-13 12:01:56.969023,indodax
286,777751000.0,85.38,2024-02-13 12:01:58.020089,indodax
287,777751000.0,85.38,2024-02-13 12:01:59.070580,indodax
288,777751000.0,85.38,2024-02-13 12:02:00.187739,indodax
289,777751000.0,85.38,2024-02-13 12:02:01.383078,indodax
290,777751000.0,85.38,2024-02-13 12:02:02.441448,indodax
291,777751000.0,85.38,2024-02-13 12:02:03.491846,indodax
292,777751000.0,85.38,2024-02-13 12:02:04.610151,indodax
293,777751000.0,85.38,2024-02-13 12:02:05.751621,indodax
294,777751000.0,85.38,2024-02-13 12:02:06.829717,indodax
295,777751000.0,85.38,2024-02-13 12:02:07.892242,indodax
296,777751000.0,85.38,2024-02-13 12:02:09.005416,indodax
297,777751000.0,85.38,2024-02-13 12:02:10.138063,indodax
298,777751000.0,85.38,2024-02-13 12:02:11.274767,indodax
299,777751000.0,85.38,2024-02-13 12:02:12.330683,indodax
300,777751000.0,85.38,2024-02-13 12:02:13.410616,indodax
301,777751000.0,85.38,2024-02-13 12:02:14.470087,indodax
302,777751000.0,85.38,2024-02-13 12:02:15.556115,indodax
303,777751000.0,85.38,2024-02-13 12:02:16.617242,indodax
304,777751000.0,85.38,2024-02-13 12:02:17.676029,indodax
305,777751000.0,85.38,2024-02-13 12:02:18.809209,indodax
306,777751000.0,85.38,2024-02-13 12:02:19.956837,indodax
307,777751000.0,85.38,2024-02-13 12:02:21.032722,indodax
308,777751000.0,85.38,2024-02-13 12:02:22.153296,indodax
309,777751000.0,85.38,2024-02-13 12:02:23.230321,indodax
310,777751000.0,85.38,2024-02-13 12:02:24.292629,indodax
311,777751000.0,85.38,2024-02-13 12:02:25.356249,indodax
312,777751000.0,85.38,2024-02-13 12:02:26.434390,indodax
313,777751000.0,85.38,2024-02-13 12:02:27.541989,indodax
314,777751000.0,85.38,2024-02-13 12:02:28.682707,indodax
315,777751000.0,85.38,2024-02-13 12:02:29.824020,indodax
316,777751000.0,85.38,2024-02-13 12:02:30.893158,indodax
317,777751000.0,85.38,2024-02-13 12:02:31.996092,indodax
318,777751000.0,85.38,2024-02-13 12:02:33.064583,indodax
319,777751000.0,85.38,2024-02-13 12:02:34.124844,indodax
320,777751000.0,85.38,2024-02-13 12:02:35.185432,indodax
321,777750000.0,85.38,2024-02-13 12:02:36.231727,indodax
322,777750000.0,85.38,2024-02-13 12:02:37.304314,indodax
323,777750000.0,85.38,2024-02-13 12:02:38.411059,indodax
324,777750000.0,85.38,2024-02-13 12:02:39.513620,indodax
325,777750000.0,85.38,2024-02-13 12:02:40.568018,indodax
326,777750000.0,85.38,2024-02-13 12:02:41.679677,indodax
327,777750000.0,85.38,2024-02-13 12:02:42.741111,indodax
328,777750000.0,85.38,2024-02-13 12:02:43.819878,indodax
329,777750000.0,85.38,2024-02-13 12:02:44.932798,indodax
330,777750000.0,85.38,2024-02-13 12:02:46.037142,indodax
331,777750000.0,85.38,2024-02-13 12:02:47.139530,indodax
332,777750000.0,85.38,2024-02-13 12:02:48.263671,indodax
333,777750000.0,85.38,2024-02-13 12:02:49.334727,indodax
334,777750000.0,85.38,2024-02-13 12:02:50.400103,indodax
335,777750000.0,85.38,2024-02-13 12:02:51.458505,indodax
336,777630000.0,85.38,2024-02-13 12:02:52.594106,indodax
337,777750000.0,85.38,2024-02-13 12:02:53.649803,indodax
338,777750000.0,85.38,2024-02-13 12:02:54.740190,indodax
339,777630000.0,85.38,2024-02-13 12:02:55.873395,indodax
340,777630000.0,85.38,2024-02-13 12:02:56.988627,indodax
341,777750000.0,85.38,2024-02-13 12:02:58.095893,indodax
342,777750000.0,85.38,2024-02-13 12:02:59.214254,indodax
343,777750000.0,85.38,2024-02-13 12:03:00.298755,indodax
344,777750000.0,85.38,2024-02-13 12:03:01.414294,indodax
345,777750000.0,85.38,2024-02-13 12:03:02.503244,indodax
346,777750000.0,85.38,2024-02-13 12:03:03.589237,indodax
347,777750000.0,85.38,2024-02-13 12:03:04.668601,indodax
348,777750000.0,85.38,2024-02-13 12:03:05.764756,indodax
349,777750000.0,85.33,2024-02-13 12:03:06.886479,indodax
350,777750000.0,85.38,2024-02-13 12:03:07.977236,indodax
351,777750000.0,85.33,2024-02-13 12:03:09.095373,indodax
352,777750000.0,85.33,2024-02-13 12:03:10.232588,indodax
353,777750000.0,85.33,2024-02-13 12:03:11.318173,indodax
354,777750000.0,85.33,2024-02-13 12:03:12.447910,indodax
355,777750000.0,85.33,2024-02-13 12:03:13.516671,indodax
356,777750000.0,85.33,2024-02-13 12:03:14.651432,indodax
357,777750000.0,85.33,2024-02-13 12:03:15.776788,indodax
358,777750000.0,85.33,2024-02-13 12:03:16.830911,indodax
359,777750000.0,85.33,2024-02-13 12:03:17.879359,indodax
360,777750000.0,85.33,2024-02-13 12:03:18.946831,indodax
361,777750000.0,85.33,2024-02-13 12:03:20.095096,indodax
362,777750000.0,85.33,2024-02-13 12:03:21.218189,indodax
363,777750000.0,85.33,2024-02-13 12:03:22.338529,indodax
364,777750000.0,85.33,2024-02-13 12:03:23.450507,indodax
365,777750000.0,85.33,2024-02-13 12:03:24.505575,indodax
366,777750000.0,85.33,2024-02-13 12:03:25.607188,indodax
367,777750000.0,85.33,2024-02-13 12:03:26.652472,indodax
368,777750000.0,85.33,2024-02-13 12:03:27.729692,indodax
369,777750000.0,85.33,2024-02-13 12:03:28.875856,indodax
370,777750000.0,85.33,2024-02-13 12:03:29.970069,indodax
371,777750000.0,85.33,2024-02-13 12:03:31.025225,indodax
372,777750000.0,85.33,2024-02-13 12:03:32.095611,indodax
373,777750000.0,85.33,2024-02-13 12:03:33.146757,indodax
374,777750000.0,85.33,2024-02-13 12:03:34.299445,indodax
375,777750000.0,85.33,2024-02-13 12:03:35.355927,indodax
376,777750000.0,85.33,2024-02-13 12:03:36.419734,indodax
377,777750000.0,85.33,2024-02-13 12:03:37.505269,indodax
378,777019000.0,85.33,2024-02-13 12:03:38.619142,indodax
379,777750000.0,85.33,2024-02-13 12:03:39.665508,indodax
380,777019000.0,85.33,2024-02-13 12:03:40.773270,indodax
381,777019000.0,85.33,2024-02-13 12:03:41.885229,indodax
382,777019000.0,85.33,2024-02-13 12:03:42.942943,indodax
383,777019000.0,85.33,2024-02-13 12:03:44.016049,indodax
384,777751000.0,85.33,2024-02-13 12:03:45.101409,indodax
385,777751000.0,85.33,2024-02-13 12:03:46.171742,indodax
386,777751000.0,85.33,2024-02-13 12:03:47.271963,indodax
387,777751000.0,85.33,2024-02-13 12:03:48.433069,indodax
388,777751000.0,85.33,2024-02-13 12:03:49.515239,indodax
